battle_id,pokemon_a_level,pokemon_a_type,pokemon_a_attack,pokemon_b_level,pokemon_b_type,pokemon_b_hp,opp1_level,opp2_level,used_spread_move,move_name,damage_to_opp1,damage_to_opp2,spillover_damage,pokemon_b_hp_remaining,pokemon_b_fainted,partner_vulnerable,battle_won,coordination,win_prob
1,38,Normal,63,38,Water,176,42,37,1,Bulldoze,57.8,66.3,34.6,141,0,0.6,1,52.7,0.5273
2,50,Normal,77,52,Fire,207,49,54,0,Thunderbolt,52.3,0.0,0.0,207,0,0.6,0,64.1,0.5638
3,45,Fire,101,37,Grass,149,59,47,0,Ice Beam,89.6,0.0,0.0,149,0,0.6,1,35.2,0.4995
4,46,Normal,98,36,Grass,132,45,38,1,Bulldoze,86.2,69.2,39.1,93,0,0.6,1,72.4,0.5698
5,39,Ground,82,42,Water,175,28,37,1,Earthquake,63.3,60.6,90.8,84,0,1.5,1,44.4,0.4642
6,51,Ground,97,53,Grass,203,29,43,0,Body Slam,74.4,0.0,0.0,203,0,1.5,1,72.4,0.7052
7,57,Ground,103,48,Grass,163,72,51,0,Psychic,88.5,0.0,0.0,163,0,1.5,1,49.5,0.5492
8,46,Electric,73,49,Psychic,175,42,55,1,Discharge,52.5,61.6,37.8,137,0,0.6,1,40.2,0.5343
9,35,Ground,80,53,Water,226,31,49,1,Earthquake,52.8,60.1,95.0,131,0,1.5,0,48.4,0.4193
10,34,Normal,77,38,Flying,146,52,43,0,Flamethrower,91.8,0.0,0.0,146,0,0.6,0,40.9,0.4935
11,51,Normal,73,45,Fire,181,37,42,1,Bulldoze,47.0,55.1,33.4,148,0,0.6,1,18.7,0.6014
12,39,Ground,69,28,Water,110,57,33,1,Earthquake,61.8,50.2,65.9,44,0,1.5,0,54.7,0.3523
13,43,Fire,70,47,Fire,191,55,37,1,Bulldoze,52.6,49.5,31.8,159,0,0.6,1,45.8,0.5281
14,40,Electric,82,52,Psychic,150,51,45,1,Discharge,69.1,67.0,33.6,116,0,0.6,1,44.3,0.5608
15,42,Ground,82,50,Fire,182,61,60,1,Earthquake,44.3,70.6,105.7,76,0,1.5,0,63.5,0.2774
16,44,Fire,91,38,Water,146,44,40,0,Flamethrower,65.3,0.0,0.0,146,0,0.6,1,24.9,0.5514
17,37,Electric,76,38,Grass,165,54,41,0,Body Slam,65.3,0.0,0.0,165,0,0.6,1,48.8,0.4754
18,46,Ground,95,62,Psychic,218,43,46,0,Thunderbolt,91.1,0.0,0.0,218,0,1.5,1,75.3,0.6858
19,34,Electric,68,51,Fire,183,42,46,0,Body Slam,79.7,0.0,0.0,183,0,0.6,0,42.6,0.5692
20,29,Water,66,33,Flying,152,37,61,1,Surf,46.9,26.6,28.8,123,0,0.6,0,54.0,0.3429
21,61,Ground,94,40,Water,160,33,47,0,Flamethrower,94.6,0.0,0.0,160,0,1.5,1,33.1,0.6885
22,34,Fire,69,49,Psychic,183,38,60,0,Ice Beam,86.4,0.0,0.0,183,0,0.6,0,33.4,0.5305
23,44,Fire,91,22,Flying,157,63,38,1,Bulldoze,77.8,71.6,43.5,114,0,0.6,1,50.3,0.4054
24,54,Water,120,39,Flying,152,48,36,0,Thunderbolt,145.8,0.0,0.0,152,0,0.6,1,34.7,0.6961
25,58,Electric,100,59,Psychic,210,49,31,1,Discharge,87.4,65.0,30.9,179,0,0.6,1,42.6,0.7489
26,37,Electric,63,56,Grass,206,59,44,1,Discharge,34.6,65.8,28.4,178,0,0.6,0,66.6,0.5082
27,28,Fire,74,39,Flying,152,40,28,0,Ice Beam,62.8,0.0,0.0,152,0,0.6,1,82.9,0.5334
28,49,Water,85,41,Water,158,43,45,0,Flamethrower,51.1,0.0,0.0,158,0,0.6,1,24.6,0.5586
29,58,Water,85,63,Flying,190,53,43,1,Surf,52.1,55.3,37.6,152,0,0.6,0,44.4,0.655
30,42,Normal,93,42,Psychic,160,57,46,1,Bulldoze,72.7,77.4,52.8,107,0,0.6,1,21.0,0.4644
31,35,Normal,73,57,Flying,190,74,39,0,Ice Beam,45.1,0.0,0.0,190,0,0.6,0,46.5,0.4677
32,32,Normal,74,50,Grass,179,46,32,1,Bulldoze,53.7,53.5,31.8,147,0,0.6,0,28.0,0.5469
