trainer_id,battle_round,opponent,opponent_type,team_level,strategy_score,type_coverage,fatigue,morale,pokemon_health_entering,item_used,item_type,battle_won,damage_taken,damage_dealt,turns,still_in_tournament
1,1,Lorelei,Ice,55,26.6,6,0.0,81.2,100.0,0,none,1,29.9,35.0,1,1
1,2,Bruno,Fighting,55,26.6,6,11.59,100.0,70.1,0,none,1,26.8,40.3,8,1
1,3,Agatha,Ghost,55,26.6,6,24.4,100.0,43.3,0,none,1,33.9,37.3,3,1
1,4,Lance,Dragon,55,26.6,6,33.43,100.0,9.4,0,none,1,29.2,56.7,5,1
2,1,Lorelei,Ice,45,60.2,4,0.0,68.67,100.0,0,none,1,19.9,20.3,6,1
2,2,Bruno,Fighting,45,60.2,4,17.26,83.28,80.1,0,none,0,16.1,48.4,8,1
2,3,Agatha,Ghost,45,60.2,4,31.25,58.12,64.0,0,none,0,0.0,0.0,0,0
2,4,Lance,Dragon,45,60.2,4,31.25,58.12,64.0,0,none,0,0.0,0.0,0,0
3,1,Lorelei,Ice,42,29.9,1,0.0,68.18,100.0,0,none,1,13.2,22.5,8,1
3,2,Bruno,Fighting,42,29.9,1,10.23,79.82,86.8,0,none,1,33.4,37.6,2,1
3,3,Agatha,Ghost,42,29.9,1,20.12,100.0,53.4,0,none,1,27.0,43.4,11,1
3,4,Lance,Dragon,42,29.9,1,31.24,100.0,26.4,0,none,0,34.0,30.5,11,1
4,1,Lorelei,Ice,57,73.8,6,0.0,59.59,100.0,0,none,1,30.8,69.0,3,1
4,2,Bruno,Fighting,57,73.8,6,8.91,66.78,69.2,0,none,1,26.0,47.5,7,1
4,3,Agatha,Ghost,57,73.8,6,14.08,77.71,43.2,0,none,1,30.7,41.9,4,1
4,4,Lance,Dragon,57,73.8,6,30.45,99.08,12.5,0,none,0,16.6,59.5,9,1
5,1,Lorelei,Ice,62,41.3,6,0.0,64.65,100.0,0,none,1,11.2,41.8,6,1
5,2,Bruno,Fighting,62,41.3,6,8.8,74.91,88.8,0,none,1,9.2,33.7,6,1
5,3,Agatha,Ghost,62,41.3,6,18.05,87.65,79.6,0,none,1,33.5,44.7,5,1
