pokemon_id,happiness_score,above_threshold,trainer_pressed_b,evolved,pokemon_level,friendship_days,trainer_skill,pokemon_species,battle_performance_post,battle_performance_itt,y0,y1
1,207.8,0,0,0,32,49,69.8,Eevee,78.4,68.4,81.3,95.8
2,214.0,0,0,0,37,46,41.5,Golbat,86.6,71.6,74.9,95.1
3,246.8,1,0,1,35,72,23.1,Pichu,86.9,94.4,86.3,92.0
4,207.9,0,0,0,27,52,40.2,Golbat,84.5,68.6,80.6,86.4
5,205.1,0,0,0,16,34,24.0,Togepi,60.4,62.8,68.5,88.1
6,170.9,0,0,0,32,31,43.5,Chansey,66.4,62.4,69.8,80.8
7,194.3,0,0,0,32,51,73.4,Chansey,77.4,75.1,69.7,90.1
8,280.0,1,0,1,28,71,44.9,Togepi,90.8,100.2,93.8,97.5
9,212.5,0,0,0,19,61,67.0,Chansey,82.4,70.0,75.8,82.7
10,202.2,0,0,0,43,59,57.3,Eevee,72.2,84.2,83.0,94.6
11,209.9,0,0,0,31,50,24.4,Eevee,78.9,70.4,76.5,93.0
12,238.7,1,0,1,33,67,64.2,Chansey,89.6,86.2,71.3,90.7
13,196.5,0,0,0,19,66,36.2,Golbat,66.4,68.1,62.3,85.1
14,195.4,0,0,0,21,34,38.0,Togepi,69.2,71.2,81.4,90.9
15,211.3,0,0,0,28,58,48.5,Chansey,74.3,77.7,74.6,84.1
16,219.8,0,0,0,30,63,32.8,Chansey,81.4,70.2,82.0,93.4
17,239.5,1,0,1,36,71,61.1,Pichu,94.9,87.9,87.3,106.6
18,209.7,0,0,0,29,58,24.3,Golbat,66.7,76.3,81.9,84.3
19,209.4,0,0,0,26,66,42.6,Eevee,64.5,62.0,69.1,75.9
20,150.0,0,0,0,32,16,41.0,Togepi,62.6,67.7,68.8,78.0
21,207.9,0,0,0,26,54,56.2,Pichu,78.8,74.1,69.6,89.5
22,182.2,0,0,0,28,51,64.1,Togepi,74.3,71.1,79.2,84.2
23,249.5,1,0,1,22,72,51.5,Eevee,82.9,87.1,77.5,95.0
24,224.3,1,0,1,21,71,63.6,Chansey,97.0,83.0,76.2,90.4
25,241.3,1,0,1,43,71,50.5,Chansey,102.0,104.4,90.4,86.3
26,206.8,0,0,0,31,70,23.6,Togepi,70.4,74.4,71.6,86.6
27,185.3,0,0,0,32,48,30.0,Chansey,71.4,75.7,71.1,90.3
28,200.2,0,0,0,23,54,68.0,Eevee,68.5,78.8,79.1,82.6
29,265.7,1,0,1,34,87,40.6,Chansey,94.8,86.4,84.0,94.0
30,168.3,0,0,0,27,37,70.6,Chansey,62.2,75.0,62.5,83.9
31,221.2,1,1,0,45,63,47.5,Golbat,79.8,94.3,88.1,91.7
32,280.0,1,0,1,27,77,18.5,Chansey,88.3,88.6,71.7,94.3
33,168.0,0,0,0,31,50,41.6,Eevee,64.7,73.8,70.6,80.4
34,261.2,1,0,1,35,77,24.3,Chansey,90.3,91.0,79.9,93.0
35,241.9,1,0,1,47,66,48.4,Togepi,102.2,90.2,93.6,104.8
36,239.5,1,0,1,30,63,37.2,Eevee,90.3,81.2,72.6,93.5
37,226.4,1,0,1,42,68,43.4,Pichu,90.2,90.6,85.8,90.1
38,217.7,0,0,0,29,73,75.3,Golbat,70.4,81.4,78.9,90.5
39,220.1,1,1,0,29,55,42.9,Pichu,76.8,88.2,83.3,89.3
40,223.5,1,0,1,36,51,66.4,Eevee,88.4,98.4,73.5,86.5
41,207.0,0,0,0,32,55,50.8,Eevee,76.3,80.0,73.2,76.8
42,255.0,1,0,1,28,72,45.6,Togepi,94.7,89.2,78.8,87.8
43,176.6,0,0,0,32,40,33.9,Golbat,72.8,70.3,67.4,84.9
44,206.6,0,0,0,28,53,37.2,Eevee,77.2,70.7,80.2,86.8
45,174.1,0,0,0,32,33,57.2,Togepi,71.3,74.1,76.9,88.2
46,226.3,1,1,0,18,66,56.0,Togepi,69.8,92.6,70.7,90.2
47,193.2,0,0,0,28,61,51.6,Chansey,71.3,76.0,74.6,82.1
48,232.8,1,1,0,25,75,63.9,Golbat,80.1,82.5,80.8,101.0
49,228.1,1,0,1,26,68,75.5,Chansey,90.7,93.2,77.7,77.4
50,238.4,1,0,1,30,70,59.2,Pichu,88.6,95.4,79.0,98.9
51,205.9,0,0,0,32,51,47.1,Pichu,83.6,71.7,71.7,83.2
52,278.0,1,0,1,49,93,40.9,Pichu,106.9,101.3,91.3,106.2
53,241.6,1,0,1,28,83,76.4,Eevee,95.2,90.9,77.9,98.6
54,200.1,0,0,0,16,50,26.0,Pichu,71.4,70.7,71.6,75.7
55,244.4,1,0,1,37,75,57.4,Golbat,97.4,92.9,85.4,96.8
56,183.1,0,0,0,41,17,56.1,Chansey,78.7,71.6,77.9,92.9
