trainer_id,trainer_name,hometown,starter_type,starter_species,team_size,team_level_avg,team_level_max,team_avg_iv_total,team_avg_ev_total,type_diversity,trainer_experience,play_hours,strategy_score,wealth,cave_training,safari_zone_visits,dept_store_spending,potions_purchased,revives_used,tm_count,exp_share_used,held_item_count,rare_candy_used,gym_pokemon_center_visits,fishing_attempts,traded_pokemon_count,team_happiness_avg,team_friendship_max,badges,elite_four_attempted,elite_four_wins,champion_defeated,hall_of_fame_time,total_battles_won,total_pokemon_caught,pokedex_completion,patience,natural_talent,dedication,hometown_gym_type,region
1,Clair_2278,Blackthorn City,Grass,Chikorita,3,32.9,36.2,60.1,196.4,1,2.8,244,60.5,2,1,8,645,38,5,8,1,3,0,25,8,4,172.1,175.4,4,0,0,0,,64,48,19.1,84.14,21.67,36.84,Dragon,Johto
2,Koji_5344,Goldenrod City,Fire,Cyndaquil,3,40.9,54.2,73.2,210.1,1,4.7,373,63.1,3,1,3,1288,51,11,7,1,1,0,34,5,1,176.8,180.0,5,0,0,0,,154,36,14.3,36.58,73.13,85.35,Normal,Johto
3,Bill_2432,Cherrygrove City,Fire,Cyndaquil,4,19.8,21.4,67.3,119.3,4,3.1,108,50.4,3,0,2,1272,14,3,6,1,2,0,13,4,1,172.8,174.0,3,0,0,0,,62,17,6.8,20.28,59.4,7.46,None,Johto
4,AJ_6884,Blackthorn City,Grass,Chikorita,3,27.1,32.0,71.1,175.7,1,1.2,481,74.5,3,0,7,1799,52,13,8,1,2,1,50,4,1,150.8,163.9,4,0,0,0,,106,63,25.1,88.79,72.34,95.66,Dragon,Johto
5,Blue_4886,Cianwood City,Fire,Cyndaquil,6,54.9,60.7,35.8,222.9,4,8.7,299,49.5,3,1,2,1204,37,9,9,1,1,0,35,7,1,165.3,177.5,6,0,0,0,,102,32,12.7,30.62,8.74,45.33,Fighting,Johto
6,Gold_7497,Goldenrod City,Water,Totodile,6,33.4,40.4,74.6,149.6,3,2.7,282,48.9,4,0,5,1782,31,7,5,0,0,2,27,7,2,148.7,152.4,3,0,0,0,,91,39,15.5,49.08,62.15,43.49,Normal,Johto
7,Falkner_9386,Cianwood City,Grass,Chikorita,4,19.7,28.7,64.5,83.0,3,1.0,112,54.0,1,0,5,650,0,10,0,0,3,0,6,8,1,152.9,176.6,3,0,0,0,,105,51,20.3,63.84,42.88,8.78,Fighting,Johto
8,AJ_6272,Azalea Town,Water,Totodile,6,47.5,68.6,76.0,213.9,3,7.7,316,68.7,3,1,2,1481,33,6,6,0,3,0,30,4,0,147.2,148.2,5,0,0,0,,126,53,21.1,64.3,97.92,52.17,Bug,Johto
9,Janine_1284,Mahogany Town,Fire,Cyndaquil,4,16.2,16.8,77.3,196.4,2,0.0,210,55.5,2,1,4,1386,27,3,2,1,0,0,26,8,1,176.5,180.2,3,0,0,0,,114,45,17.9,61.57,51.59,34.28,Ice,Johto
10,Clair_8642,Violet City,Grass,Chikorita,5,33.6,36.1,77.6,259.7,3,1.1,540,83.5,4,1,4,1652,63,10,6,0,5,0,59,10,3,144.3,159.4,5,0,0,0,,83,62,24.7,73.09,98.87,98.95,Flying,Johto
11,Gary_6081,Blackthorn City,Water,Totodile,3,32.0,32.1,49.2,200.3,2,3.6,260,51.0,3,1,4,1448,34,4,3,0,1,0,29,6,0,195.3,195.4,3,0,0,0,,68,43,17.1,74.01,26.83,33.38,Dragon,Johto
12,Surge_3557,Goldenrod City,Fire,Cyndaquil,6,40.5,45.3,57.0,165.5,4,8.2,245,67.7,3,0,5,1642,21,3,4,0,2,0,31,12,2,144.5,157.9,6,0,0,0,,144,47,18.7,82.96,29.41,28.96,Normal,Johto
13,Morty_2157,Cherrygrove City,Grass,Chikorita,4,37.8,49.5,76.3,255.8,1,2.5,382,31.8,4,1,3,1601,41,10,11,0,0,0,44,7,1,187.4,192.0,2,0,0,0,,73,44,17.5,20.84,47.67,61.61,None,Johto
14,Blue_8400,New Bark Town,Water,Totodile,3,25.2,42.6,65.2,171.4,3,0.4,358,47.5,2,0,2,1060,44,10,2,0,1,1,39,6,0,180.4,180.7,2,0,0,0,,116,48,19.1,85.82,36.78,65.58,None,Johto
15,Morty_7786,Olivine City,Fire,Cyndaquil,2,28.6,34.5,45.8,185.0,3,1.2,91,35.7,4,1,3,1691,13,5,4,1,2,1,8,10,1,123.4,126.8,2,0,0,0,,66,21,8.4,56.09,30.04,7.05,Steel,Johto
16,Blaine_6256,Cherrygrove City,Fire,Cyndaquil,4,18.7,19.1,68.0,158.5,2,0.6,381,61.2,1,0,1,386,26,7,3,1,0,1,45,6,0,183.9,184.1,4,0,0,0,,85,35,13.9,47.46,87.21,66.78,None,Johto
17,Gary_3152,Olivine City,Grass,Chikorita,2,21.4,26.1,58.5,148.1,1,1.1,236,39.5,4,0,10,1975,34,9,6,1,3,1,29,5,4,152.9,156.7,2,0,0,0,,42,62,24.7,97.73,40.45,39.16,Steel,Johto
18,Stella_8186,Ecruteak City,Fire,Cyndaquil,2,22.1,46.0,63.1,136.9,1,0.9,286,34.9,2,0,1,589,30,6,4,0,3,1,22,10,0,182.3,183.2,1,0,0,0,,89,23,9.2,20.9,71.59,47.6,Ghost,Johto
19,Green_8090,Cherrygrove City,Grass,Chikorita,5,41.0,62.2,77.1,243.8,5,6.2,495,85.8,1,1,6,526,46,13,10,0,1,0,43,9,3,172.9,193.4,6,0,0,0,,109,58,23.1,87.38,97.62,77.16,None,Johto
20,Blaine_9625,Mahogany Town,Water,Totodile,5,26.0,32.5,90.5,122.4,2,0.2,242,60.1,3,0,2,1391,17,4,3,0,0,0,25,4,1,154.1,202.1,3,0,0,0,,67,29,11.6,26.88,98.73,34.35,Ice,Johto
21,Silver_7520,Blackthorn City,Water,Totodile,1,25.5,48.7,55.2,112.8,1,1.0,283,70.2,3,0,9,1208,34,13,9,1,1,0,34,9,1,159.0,168.4,4,0,0,0,,113,57,22.7,100.0,82.67,57.14,Dragon,Johto
22,Yellow_1585,Cherrygrove City,Fire,Cyndaquil,4,33.4,33.9,83.4,195.5,2,3.8,241,72.6,2,1,3,1525,19,3,4,0,0,0,30,10,2,164.3,172.9,5,0,0,0,,72,34,13.5,84.08,94.5,36.14,None,Johto
23,Giselle_2872,Olivine City,Fire,Cyndaquil,6,31.9,61.6,47.6,248.3,2,1.6,427,58.0,2,1,8,1111,39,8,12,0,2,0,35,5,4,150.4,186.5,3,0,0,0,,83,70,27.9,59.71,27.24,66.8,Steel,Johto
24,AJ_7590,Mahogany Town,Water,Totodile,6,51.2,71.3,46.1,244.8,2,9.7,619,55.1,3,1,4,1966,48,14,10,0,3,1,52,12,0,146.4,150.1,6,0,0,0,,108,74,29.5,64.14,26.13,94.55,Ice,Johto
25,Todd_9731,Blackthorn City,Grass,Chikorita,6,62.5,70.0,51.3,257.0,6,13.8,358,51.0,3,1,1,1148,42,10,15,1,1,0,38,5,1,171.9,180.4,7,0,0,0,,132,35,13.9,21.55,40.3,43.48,Dragon,Johto
26,Blaine_3102,Blackthorn City,Fire,Cyndaquil,5,23.0,27.2,81.8,165.3,1,0.7,70,52.7,2,0,3,937,12,2,3,0,2,1,14,9,2,176.0,182.9,2,0,0,0,,105,28,11.2,54.61,95.3,19.5,Dragon,Johto
27,James_4128,Goldenrod City,Fire,Cyndaquil,4,63.6,73.5,69.7,191.6,2,12.3,347,83.6,3,0,5,1129,24,6,13,1,3,0,41,8,6,139.7,146.8,8,1,1,1,363.0,137,42,16.7,63.92,64.49,50.25,Normal,Johto
28,AJ_5911,Violet City,Grass,Chikorita,3,43.3,43.9,40.7,161.1,3,3.2,277,66.0,1,0,7,599,31,4,9,0,2,0,26,6,1,152.0,161.6,6,0,0,0,,75,47,18.7,100.0,5.58,55.1,Flying,Johto
29,Todd_2320,Goldenrod City,Grass,Chikorita,6,31.5,35.8,53.3,166.4,2,2.2,229,53.4,2,0,6,1001,9,10,1,0,1,0,30,4,2,132.3,138.1,4,0,0,0,,54,38,15.1,47.55,43.25,28.67,Normal,Johto
30,Jasmine_8975,Cherrygrove City,Water,Totodile,6,20.9,22.8,68.7,118.3,3,0.8,124,31.3,4,0,0,1632,9,6,6,0,2,3,13,2,1,179.6,205.7,0,0,0,0,,61,7,2.8,24.72,45.57,21.8,None,Johto
31,Red_1618,Cherrygrove City,Fire,Cyndaquil,5,40.6,42.9,55.6,161.7,4,4.6,391,65.2,2,0,5,1339,39,9,11,1,3,1,24,5,0,189.5,201.8,5,0,0,0,,95,81,32.3,55.72,60.41,62.51,None,Johto
32,Todd_3458,Goldenrod City,Fire,Cyndaquil,3,34.3,37.2,72.9,125.4,3,3.6,313,82.7,4,0,5,2187,32,7,8,0,0,0,21,10,5,149.5,179.1,7,0,0,0,,89,51,20.3,52.98,85.0,54.7,Normal,Johto
33,Richie_3808,Violet City,Fire,Cyndaquil,3,35.5,39.4,44.9,158.4,5,3.6,189,67.6,3,0,6,1634,28,5,6,1,2,0,14,6,2,163.6,199.9,7,0,0,0,,36,36,14.3,98.94,8.07,35.44,Flying,Johto
34,Surge_3875,Blackthorn City,Fire,Cyndaquil,3,32.6,38.4,83.9,202.1,5,0.8,465,62.8,3,1,8,1398,51,7,10,0,4,0,49,4,2,199.3,201.9,4,0,0,0,,81,77,30.7,71.4,96.97,94.15,Dragon,Johto
35,AJ_6864,Azalea Town,Water,Totodile,5,27.6,32.2,58.1,171.0,3,3.6,117,35.4,2,1,3,1100,33,6,0,1,1,1,27,2,1,133.2,161.9,3,0,0,0,,99,27,10.8,29.27,20.26,14.96,Bug,Johto
36,Jessie_9648,Goldenrod City,Fire,Cyndaquil,3,45.6,45.6,80.8,157.1,3,9.2,573,74.8,3,0,3,1075,54,14,15,1,3,0,34,6,2,169.2,177.2,6,0,0,0,,184,42,16.7,57.63,71.22,88.81,Normal,Johto
37,Surge_8275,Cianwood City,Grass,Chikorita,4,20.5,32.9,31.9,151.6,1,0.1,167,32.6,2,0,4,598,21,5,2,0,2,0,18,6,1,126.0,146.8,1,0,0,0,,15,20,8.0,55.6,2.61,19.44,Fighting,Johto
38,Joe_1710,Blackthorn City,Grass,Chikorita,3,41.7,52.0,72.2,143.0,2,2.3,446,43.0,1,0,1,959,59,9,17,0,4,1,47,4,1,147.4,164.7,4,0,0,0,,46,32,12.7,22.94,46.99,92.46,Dragon,Johto
39,Surge_1466,Olivine City,Water,Totodile,5,23.1,26.9,73.0,191.8,3,1.4,424,78.5,2,1,2,967,37,12,6,0,1,0,34,5,1,161.5,169.1,5,0,0,0,,117,56,22.3,30.39,86.89,77.91,Steel,Johto
40,Crystal_2509,Mahogany Town,Fire,Cyndaquil,2,22.9,27.4,32.0,124.2,5,0.9,139,46.2,3,0,3,1392,8,2,5,0,0,0,18,4,1,193.6,197.1,3,0,0,0,,25,25,10.0,68.81,4.58,23.09,Ice,Johto
41,Gold_9679,Ecruteak City,Grass,Chikorita,6,42.5,45.9,80.8,160.5,2,3.3,194,89.1,2,1,10,226,16,5,5,0,1,0,22,4,1,179.6,186.2,6,0,0,0,,113,27,10.8,100.0,90.47,32.63,Ghost,Johto
42,Bugsy_6899,Cianwood City,Water,Totodile,6,47.9,71.4,66.1,225.4,4,7.7,383,60.8,2,1,6,562,33,7,10,1,1,0,36,6,1,160.3,178.4,6,0,0,0,,103,67,26.7,84.7,54.46,53.82,Fighting,Johto
43,Blaine_9562,Cianwood City,Fire,Cyndaquil,3,22.4,25.8,76.5,226.1,1,2.3,402,63.6,2,1,6,952,48,10,9,0,0,1,45,4,1,159.3,162.1,3,0,0,0,,64,51,20.3,80.21,58.83,77.78,Fighting,Johto
44,Aya_3169,Mahogany Town,Fire,Cyndaquil,6,31.2,37.2,79.2,253.2,3,0.1,326,58.2,3,1,4,1642,47,6,7,0,1,1,46,3,1,186.4,194.2,4,0,0,0,,82,48,19.1,70.11,65.47,62.41,Ice,Johto
45,Erika_3204,Mahogany Town,Grass,Chikorita,3,31.2,32.1,78.5,145.7,3,2.2,377,47.1,2,0,7,977,34,5,9,0,2,0,36,6,0,127.4,158.9,2,0,0,0,,108,55,21.9,50.73,95.18,72.57,Ice,Johto
46,Ash_6508,Cherrygrove City,Fire,Cyndaquil,4,24.5,27.6,70.7,197.5,1,0.1,152,54.3,1,1,2,325,31,6,1,0,1,1,20,5,0,148.1,151.8,2,0,0,0,,37,40,15.9,43.61,65.52,39.28,None,Johto
