battle_id,trainer_id,battle_type,attacker_level,attacker_type,defender_level,defender_type,type_advantage,weather,weather_multiplier,terrain,held_item,held_item_bonus,move_power,move_accuracy,move_hit,critical_hit,crit_multiplier,damage_dealt,strategy_score,turns,battle_won,exp_gained,pokemon_fainted,win_prob,attacker_hp_remaining_pct,defender_hp_remaining_pct,reward_money
1,655,gym,38,Fighting,41,Psychic,2.0,clear,1.0,water,leftovers,1.05,67,82,1,0,1.0,62.5,30.9,2,1,434,0,0.6006,0.828,0.71,10347
2,1755,gym,27,Ice,30,Normal,0.5,rain,1.0,mountain,focus_sash,1.0,48,89,1,0,1.0,4.6,58.9,4,0,7,1,0.4269,0.094,0.919,0
3,1899,trainer,38,Fighting,56,Water,1.0,sun,1.0,urban,berry,1.0,55,84,1,0,1.0,21.9,46.6,4,1,255,0,0.4294,0.646,0.626,3034
4,812,wild,36,Ghost,22,Ice,1.0,clear,1.0,cave,none,1.0,93,99,1,0,1.0,38.5,48.8,2,0,0,1,0.6131,0.322,0.858,0
5,1494,gym,35,Fire,48,Dragon,1.0,rain,0.5,mountain,none,1.0,77,83,1,0,1.0,7.7,64.3,3,1,493,0,0.4431,0.551,0.139,11997
6,80,wild,21,Poison,12,Electric,1.0,clear,1.0,mountain,berry,1.0,96,84,1,0,1.0,17.1,58.6,2,0,8,1,0.587,0.294,0.814,11
7,1124,trainer,66,Psychic,53,Ice,1.0,clear,1.0,grass,choice_band,1.3,86,86,1,0,1.0,90.0,86.0,4,0,0,0,0.7446,0.402,0.767,159
8,160,wild,35,Electric,21,Dragon,1.0,clear,1.0,water,none,1.0,49,91,1,0,1.0,18.5,52.3,1,1,97,0,0.5976,0.964,0.203,959
9,757,trainer,13,Dragon,2,Poison,2.0,clear,1.0,urban,none,1.0,91,100,1,0,1.0,38.9,50.9,2,1,17,0,0.6835,0.732,0.301,0
10,1493,trainer,32,Rock,44,Psychic,1.0,clear,1.0,grass,choice_band,1.3,48,81,0,0,1.0,5.5,54.1,6,0,0,1,0.4572,0.124,0.703,42
11,1660,trainer,24,Bug,23,Normal,1.0,rain,1.0,cave,focus_sash,1.0,54,86,1,0,1.0,14.4,50.3,8,1,78,0,0.5237,0.878,0.425,1224
12,121,wild,58,Electric,54,Poison,0.5,clear,1.0,grass,none,1.0,81,79,1,0,1.0,28.2,64.5,3,0,0,1,0.5049,0.137,0.678,0
13,225,trainer,51,Ice,55,Dragon,2.0,clear,1.0,mountain,none,1.0,23,94,1,0,1.0,32.5,89.4,5,1,276,0,0.6949,0.939,0.19,2730
14,77,trainer,29,Ground,36,Rock,0.5,rain,1.0,urban,berry,1.0,64,100,1,0,1.0,12.1,63.9,5,1,154,0,0.4287,0.594,0.125,1668
15,1588,wild,41,Electric,24,Poison,0.5,hail,1.0,cave,leftovers,1.05,89,92,1,0,1.0,25.7,61.1,2,0,0,0,0.558,0.436,0.535,0
16,1841,trainer,48,Fighting,50,Fighting,1.0,clear,1.0,cave,none,1.0,68,92,1,0,1.0,26.6,39.2,1,0,0,1,0.4963,0.128,0.816,94
17,985,gym,54,Fighting,54,Ghost,2.0,clear,1.0,urban,choice_band,1.3,51,97,1,0,1.0,84.0,72.9,4,1,558,0,0.7302,0.756,0.203,13353
18,589,trainer,35,Flying,41,Flying,1.0,clear,1.0,cave,leftovers,1.05,89,100,1,0,1.0,47.0,63.7,2,1,207,0,0.5627,0.521,0.258,1851
19,363,trainer,28,Bug,23,Water,1.0,clear,1.0,urban,none,1.0,65,89,1,0,1.0,26.7,52.4,1,0,0,1,0.564,0.174,0.646,0
20,239,gym,28,Bug,45,Psychic,2.0,rain,1.0,cave,choice_band,1.3,122,100,1,0,1.0,100.0,35.9,7,0,0,0,0.5904,0.273,0.531,0
21,1643,trainer,48,Electric,50,Dragon,1.0,sun,1.0,cave,choice_band,1.3,76,92,1,0,1.0,51.8,32.9,3,1,222,0,0.512,0.966,0.524,2685
22,1784,trainer,45,Bug,50,Psychic,2.0,rain,1.0,cave,focus_sash,1.0,72,72,1,0,1.0,76.9,45.5,1,1,255,1,0.6425,0.798,0.24,2544
23,1657,trainer,28,Bug,36,Bug,0.5,clear,1.0,urban,leftovers,1.05,90,80,1,0,1.0,12.0,38.6,3,1,164,0,0.3634,0.68,0.09,1869
24,1559,wild,39,Fighting,35,Ground,0.5,rain,1.0,water,berry,1.0,63,92,1,0,1.0,24.5,64.6,9,1,186,0,0.5005,0.769,0.06,1901
25,1623,trainer,30,Poison,4,Rock,1.0,sandstorm,1.0,mountain,none,1.0,79,88,1,0,1.0,21.0,33.0,6,1,32,0,0.6118,0.772,0.484,114
26,359,gym,48,Dragon,49,Bug,1.0,sandstorm,1.0,mountain,none,1.0,109,98,1,0,1.0,63.9,48.7,6,1,471,0,0.5711,0.847,0.337,12432
