city,period,shadow_surge_adopted,adoption_period,periods_since_adoption,team_rocket_invasion,avg_trainer_level,monthly_battles,pokemon_center_visits,gym_revenue,population,city_fe
Pewter City,1,0,,0,0,30.4,929,547,24403,10635,28
Pewter City,2,0,,0,0,28.9,1084,630,23613,10598,28
Pewter City,3,0,,0,0,28.9,1162,649,24543,10683,28
Pewter City,4,0,,0,0,29.3,942,620,25644,10776,28
Pewter City,5,0,,0,0,30.7,1353,587,24246,11029,28
Pewter City,6,0,,0,0,34.5,1199,570,27592,10957,28
Pewter City,7,0,,0,0,29.0,1324,599,25301,10829,28
Pewter City,8,0,,0,0,32.0,1354,619,27070,11064,28
Pewter City,9,0,,0,0,35.2,1326,586,25889,11136,28
Pewter City,10,0,,0,0,33.7,1240,531,26251,11150,28
Pewter City,11,0,,0,0,34.4,1440,614,25497,11442,28
Pewter City,12,0,,0,0,34.5,1555,549,25703,11393,28
Pewter City,13,0,,0,0,31.5,1441,672,26221,11238,28
Pewter City,14,0,,0,0,38.1,1547,718,25371,11282,28
Pewter City,15,0,,0,0,35.5,1364,577,26773,11384,28
Pewter City,16,0,,0,0,36.1,1449,578,26755,11307,28
Pewter City,17,0,,0,0,36.0,1636,735,26111,11441,28
Pewter City,18,0,,0,0,35.8,1737,615,27284,11484,28
Pewter City,19,0,,0,0,38.4,1658,777,29041,11513,28
Pewter City,20,0,,0,0,38.5,1614,643,27591,11609,28
Pewter City,21,0,,0,0,34.9,1702,687,27279,11642,28
Pewter City,22,0,,0,0,39.0,1892,661,27497,11632,28
Pewter City,23,0,,0,0,39.4,1704,654,28833,11880,28
Pewter City,24,0,,0,0,41.1,1799,654,28780,11783,28
Cerulean City,1,0,10.0,0,0,32.2,1230,605,29455,11525,33
Cerulean City,2,0,10.0,0,0,34.9,1221,555,27969,11764,33
Cerulean City,3,0,10.0,0,0,36.2,1283,600,26754,11719,33
Cerulean City,4,0,10.0,0,0,36.3,1347,632,28250,11815,33
Cerulean City,5,0,10.0,0,0,36.9,1442,690,27563,11792,33
Cerulean City,6,0,10.0,0,0,34.0,1341,659,28458,11729,33
Cerulean City,7,0,10.0,0,0,39.8,1387,618,28746,11915,33
Cerulean City,8,0,10.0,0,0,37.7,1423,662,28521,11948,33
Cerulean City,9,0,10.0,0,0,38.0,1259,713,26926,12202,33
Cerulean City,10,1,10.0,0,0,41.0,1524,569,30809,11952,33
Cerulean City,11,1,10.0,1,0,43.9,1677,670,31569,12185,33
Cerulean City,12,1,10.0,2,0,47.0,1624,591,29086,12331,33
Cerulean City,13,1,10.0,3,0,44.5,1483,601,30755,12259,33
Cerulean City,14,1,10.0,4,0,43.9,1583,668,31775,12378,33
