trainer_id,trainer_name,hometown,starter_type,starter_species,team_size,team_level_avg,team_level_max,team_avg_iv_total,team_avg_ev_total,type_diversity,trainer_experience,play_hours,strategy_score,wealth,cave_training,safari_zone_visits,dept_store_spending,potions_purchased,revives_used,tm_count,exp_share_used,held_item_count,rare_candy_used,gym_pokemon_center_visits,fishing_attempts,traded_pokemon_count,team_happiness_avg,team_friendship_max,badges,elite_four_attempted,elite_four_wins,champion_defeated,hall_of_fame_time,total_battles_won,total_pokemon_caught,pokedex_completion,patience,natural_talent,dedication,hometown_gym_type,region
1,Morty_6903,Lavender Town,Fire,Charmander,6,28.5,34.8,67.5,147.9,2,1.7,249,41.0,2,0,1,1463,29,12,3,0,2,0,28,4,1,112.8,115.8,1,0,0,0,,81,57,37.7,54.22,35.67,34.91,Ghost,Kanto
2,Giselle_6997,Viridian City,Fire,Charmander,6,34.2,52.0,82.4,309.1,2,0.2,566,55.8,4,1,2,1926,81,7,16,0,3,0,70,2,2,136.1,139.1,3,0,0,0,,125,80,53.0,10.98,80.8,95.46,Ground,Kanto
3,Gold_3163,Celadon City,Water,Squirtle,4,56.7,69.4,68.9,281.7,3,10.0,404,78.0,3,1,4,2419,42,10,12,1,3,0,71,5,1,178.5,182.2,7,0,0,0,,125,68,45.0,87.54,39.05,40.27,Grass,Kanto
4,Richie_2605,Cinnabar Island,Grass,Bulbasaur,5,34.9,38.2,19.1,176.7,4,3.8,247,57.0,3,1,6,1924,37,6,13,1,1,1,31,5,1,164.4,167.1,5,0,0,0,,72,58,38.4,72.76,23.14,32.02,Fire,Kanto
5,Silver_8159,Cinnabar Island,Water,Squirtle,2,48.5,48.6,74.8,210.3,5,2.6,621,35.7,4,0,1,2076,78,14,15,0,6,0,74,7,1,127.3,140.0,4,0,0,0,,130,74,49.0,7.86,60.95,97.43,Fire,Kanto
6,Whitney_5999,Saffron City,Water,Squirtle,6,40.5,58.5,47.5,220.0,1,4.9,337,74.6,4,1,5,1661,56,5,10,1,1,2,46,9,2,146.5,150.3,5,0,0,0,,159,63,41.7,85.03,55.42,57.86,Psychic,Kanto
7,Daisy_3521,Vermilion City,Water,Squirtle,6,42.1,50.3,65.5,115.3,2,7.1,117,50.7,3,0,1,1556,16,2,7,1,1,1,19,8,3,176.1,193.3,4,0,0,0,,142,33,21.9,34.97,25.58,4.96,Electric,Kanto
8,Bugsy_6883,Cinnabar Island,Water,Squirtle,2,46.2,60.6,36.0,236.9,1,5.2,460,43.3,4,0,6,2268,64,10,17,1,1,0,55,4,2,153.9,166.0,4,0,0,0,,126,71,47.0,70.11,2.28,70.14,Fire,Kanto
9,Dario_3637,Saffron City,Water,Squirtle,4,33.2,49.1,55.9,130.2,1,2.1,161,42.8,3,0,1,1507,26,7,5,1,2,0,30,7,5,112.3,168.5,2,0,0,0,,108,11,7.3,21.03,38.08,18.6,Psychic,Kanto
10,AJ_6763,Vermilion City,Grass,Bulbasaur,5,48.2,49.1,49.1,224.0,3,7.5,156,55.2,3,1,2,2228,21,0,5,0,1,1,26,5,3,137.2,146.3,6,0,0,0,,123,40,26.5,29.21,9.44,26.64,Electric,Kanto
11,Erika_5718,Vermilion City,Grass,Bulbasaur,6,38.2,41.9,85.2,206.3,2,0.5,346,62.1,4,0,0,2083,56,9,17,0,2,2,30,0,0,168.9,172.6,4,0,0,0,,86,50,33.1,33.24,99.82,71.02,Electric,Kanto
12,AJ_3827,Pewter City,Grass,Bulbasaur,3,36.0,37.6,68.6,223.0,1,3.2,420,40.6,3,1,1,1963,52,12,12,1,4,0,44,0,2,137.6,162.0,3,0,0,0,,152,54,35.8,15.44,51.92,72.94,Rock,Kanto
13,Blaine_1233,Viridian City,Water,Squirtle,6,49.3,51.1,64.0,290.5,2,5.3,412,61.5,4,1,6,2262,56,11,6,1,2,1,53,6,0,159.7,162.7,6,0,0,0,,97,63,41.7,74.86,70.45,56.37,Ground,Kanto
14,Ash_3064,Cerulean City,Water,Squirtle,5,60.4,71.9,38.0,276.1,3,11.1,614,57.0,3,1,4,1794,71,13,20,1,2,0,58,7,2,140.5,165.5,7,0,0,0,,180,85,56.3,74.79,18.86,89.27,Water,Kanto
15,Koga_8217,Saffron City,Grass,Bulbasaur,4,36.9,45.2,53.6,274.0,3,5.1,311,49.9,3,1,3,1477,35,9,7,0,1,1,40,1,0,157.3,166.4,3,0,0,0,,171,47,31.1,56.24,38.52,26.88,Psychic,Kanto
16,Green_8766,Fuchsia City,Water,Squirtle,6,38.7,40.1,79.7,274.1,4,1.5,493,56.7,4,1,3,1660,58,11,12,0,1,0,48,9,2,154.5,171.1,4,0,0,0,,143,66,43.7,77.63,74.83,81.82,Poison,Kanto
17,Misty_8457,Cerulean City,Grass,Bulbasaur,6,20.5,21.3,53.0,158.1,1,1.8,72,45.9,2,0,2,1719,15,6,0,1,2,0,13,3,1,134.9,142.6,2,0,0,0,,77,29,19.2,63.8,18.56,5.58,Water,Kanto
18,Todd_2142,Celadon City,Grass,Bulbasaur,6,43.1,50.8,92.5,198.7,4,5.4,283,69.0,3,1,4,1770,33,10,6,0,1,0,34,3,2,133.4,144.4,6,0,0,0,,184,50,33.1,39.49,97.63,36.11,Grass,Kanto
19,Bugsy_1469,Vermilion City,Fire,Charmander,3,39.5,42.5,55.5,270.3,5,2.9,422,48.9,3,1,4,1504,51,6,11,0,2,1,55,5,3,156.1,161.7,3,0,0,0,,110,76,50.3,76.42,4.54,76.59,Electric,Kanto
20,AJ_8883,Cerulean City,Water,Squirtle,4,55.8,61.0,42.9,227.9,2,8.9,236,71.8,4,1,3,2418,16,6,4,0,4,1,32,4,1,141.1,143.2,6,0,0,0,,78,46,30.5,89.02,7.25,13.78,Water,Kanto
21,Bill_2920,Vermilion City,Fire,Charmander,6,42.3,54.7,44.5,248.2,3,4.6,405,41.0,3,1,4,1610,51,12,10,0,5,0,69,6,0,87.8,108.4,2,0,0,0,,111,71,47.0,29.23,26.71,52.69,Electric,Kanto
22,Gary_9954,Cinnabar Island,Grass,Bulbasaur,6,58.3,67.5,94.5,285.5,3,7.2,423,83.3,3,1,7,1909,44,7,12,1,3,0,48,3,0,154.7,155.5,7,0,0,0,,148,49,32.5,75.89,93.71,67.67,Fire,Kanto
23,Misty_2203,Celadon City,Water,Squirtle,2,58.9,64.0,79.2,308.9,1,7.9,590,54.1,4,1,1,2515,80,13,12,0,2,1,69,5,3,117.2,124.6,4,0,0,0,,147,57,37.7,16.08,74.67,95.89,Grass,Kanto
24,Silver_1069,Viridian City,Grass,Bulbasaur,6,39.7,46.2,47.8,135.0,2,3.9,274,51.9,2,0,6,1132,32,9,4,0,2,0,30,6,2,115.6,117.5,2,0,0,0,,109,64,42.4,87.93,47.41,31.63,Ground,Kanto
25,Jessie_9599,Cinnabar Island,Fire,Charmander,5,45.5,51.5,78.1,271.7,2,4.4,450,78.2,3,1,4,1813,59,7,12,1,2,2,59,4,3,161.2,211.9,7,0,0,0,,103,66,43.7,68.53,86.19,83.68,Fire,Kanto
26,Stella_7548,Saffron City,Water,Squirtle,6,32.1,49.6,90.5,274.9,3,1.0,396,53.7,3,1,1,1325,51,10,9,0,4,2,50,3,4,158.2,159.9,3,0,0,0,,70,45,29.8,32.73,81.87,62.77,Psychic,Kanto
27,Agatha_5032,Celadon City,Fire,Charmander,4,39.8,47.2,63.2,272.9,1,1.8,496,43.1,3,1,4,1374,82,12,13,1,0,1,61,9,1,113.4,118.9,3,0,0,0,,77,73,48.3,44.57,44.85,87.34,Grass,Kanto
28,Todd_6075,Fuchsia City,Fire,Charmander,3,44.3,45.1,48.5,347.6,3,0.9,510,20.2,2,1,2,1325,62,17,9,1,2,1,57,2,1,168.2,170.1,3,0,0,0,,86,69,45.7,10.01,4.21,79.24,Poison,Kanto
29,Koji_8713,Fuchsia City,Fire,Charmander,6,30.4,32.5,53.0,257.6,5,1.6,343,32.4,3,1,2,1608,39,13,8,0,3,3,35,5,0,141.0,142.6,3,0,0,0,,91,44,29.1,32.58,22.6,52.46,Poison,Kanto
30,Giovanni_4835,Pallet Town,Fire,Charmander,5,24.9,33.2,36.3,175.4,1,0.1,181,44.4,3,1,5,1869,16,3,0,0,3,0,27,6,1,149.4,154.3,0,0,0,0,,33,40,26.5,80.4,1.74,12.83,None,Kanto
31,Tracey_1150,Cerulean City,Water,Squirtle,3,37.6,57.1,63.0,167.2,2,7.3,320,56.0,4,0,4,1908,43,10,9,1,2,2,35,4,5,169.7,187.9,3,0,0,0,,75,41,27.2,96.35,23.73,31.96,Water,Kanto
32,Crystal_7823,Lavender Town,Water,Squirtle,5,68.1,83.5,72.4,253.5,3,14.3,500,70.4,4,1,3,1661,52,13,14,0,3,2,51,5,0,156.9,159.4,6,0,0,0,,245,53,35.1,76.71,58.8,48.2,Ghost,Kanto
