trainer_id,treatment_assigned,treatment_received,compliance_type,starter_type,team_level,trainer_experience,strategy_score,brock_win,damage_to_onix,pokemon_remaining,win_prob
1,0,0,complier,Water,15,0.1,24.0,1,130,3,0.387
2,0,0,complier,Grass,14,0.3,38.2,0,101,6,0.3457
3,1,1,always_taker,Fire,11,1.4,28.9,0,117,2,0.143
4,1,0,never_taker,Water,15,5.4,62.3,0,100,5,0.4808
5,0,0,never_taker,Water,13,3.3,43.7,0,110,3,0.3768
6,0,0,complier,Fire,13,1.6,42.7,0,75,2,0.1078
7,0,0,never_taker,Water,11,2.1,27.2,0,102,2,0.2874
8,1,0,never_taker,Water,20,2.7,41.7,1,128,5,0.5786
9,1,0,never_taker,Grass,16,0.7,19.0,0,114,5,0.3566
10,1,1,complier,Fire,13,4.1,62.5,0,97,1,0.2288
11,0,0,complier,Grass,10,3.2,56.4,0,76,0,0.2817
12,0,1,always_taker,Water,16,0.7,37.1,0,129,0,0.6203
13,0,0,complier,Water,17,0.3,34.9,1,112,3,0.4723
14,0,0,complier,Fire,13,0.5,26.8,0,93,2,0.0935
15,0,0,never_taker,Grass,16,1.7,49.7,0,120,1,0.4297
16,1,1,complier,Grass,16,0.9,48.2,1,129,2,0.5992
17,0,0,never_taker,Water,18,2.4,46.5,0,123,1,0.5312
18,0,0,complier,Water,19,0.8,33.0,0,129,1,0.5275
19,1,1,complier,Water,10,1.4,39.0,0,83,0,0.4477
20,1,1,complier,Water,15,1.2,38.2,1,127,2,0.5944
21,1,1,complier,Fire,15,1.1,25.5,0,133,2,0.2067
22,1,1,always_taker,Fire,15,2.8,34.6,1,114,2,0.222
23,0,0,complier,Water,14,3.2,49.8,1,103,5,0.4202
24,1,1,complier,Grass,16,8.0,65.4,1,123,6,0.6397
25,1,0,never_taker,Grass,14,4.7,55.6,0,135,5,0.386
26,1,1,complier,Grass,19,0.1,25.2,0,117,1,0.6299
27,0,1,always_taker,Grass,15,1.3,30.7,1,150,2,0.5267
28,0,0,complier,Fire,15,1.2,42.7,0,64,2,0.1332
29,1,1,always_taker,Water,16,1.8,34.9,0,144,0,0.6151
30,0,0,never_taker,Grass,14,2.0,62.6,0,106,2,0.4028
31,0,0,never_taker,Water,14,1.1,36.5,1,104,4,0.3882
32,0,1,always_taker,Water,11,0.8,35.2,1,96,2,0.468
33,0,0,complier,Water,16,0.9,37.7,1,118,5,0.4494
34,1,1,complier,Water,13,0.2,25.1,1,86,2,0.5027
35,0,1,always_taker,Fire,14,0.7,35.7,1,126,6,0.2038
36,0,0,never_taker,Water,19,0.9,10.1,0,101,2,0.4703
37,1,1,complier,Fire,16,0.5,19.2,0,104,6,0.2162
38,1,1,complier,Grass,12,0.2,33.2,0,131,6,0.4432
39,0,1,always_taker,Water,17,0.0,35.7,1,152,6,0.645
40,1,1,always_taker,Grass,12,0.1,32.9,1,120,4,0.4425
41,0,0,never_taker,Fire,12,1.8,42.8,0,64,1,0.0969
42,1,1,complier,Fire,13,0.7,38.7,0,115,1,0.1895
43,1,1,complier,Water,10,1.5,33.4,0,122,2,0.4339
44,1,0,never_taker,Grass,15,0.0,36.1,0,126,3,0.3684
45,0,0,complier,Fire,13,1.5,36.4,0,90,4,0.1019
46,0,0,complier,Grass,11,0.7,31.8,0,91,3,0.2569
47,1,1,always_taker,Fire,17,0.0,50.0,1,123,6,0.2973
48,1,1,complier,Grass,14,4.0,38.0,0,95,2,0.515
49,0,0,never_taker,Fire,16,0.8,41.6,1,101,4,0.1463
50,0,0,complier,Grass,15,2.1,32.0,0,127,2,0.3589
51,0,0,complier,Fire,14,2.9,37.1,0,71,3,0.1142
52,0,0,never_taker,Grass,15,2.2,32.7,1,85,3,0.3605
53,1,1,complier,Fire,11,1.5,31.7,0,105,3,0.1464
54,0,1,always_taker,Grass,12,3.0,40.8,1,115,4,0.4621
55,0,0,complier,Fire,10,0.9,36.3,0,98,3,0.0733
56,0,0,never_taker,Fire,10,0.6,28.9,0,74,0,0.0684
57,0,0,complier,Grass,15,4.3,49.2,1,100,3,0.3994
58,1,1,complier,Grass,14,3.1,35.4,0,136,2,0.5085
59,1,1,complier,Fire,16,0.5,33.1,0,108,2,0.2407
60,0,0,complier,Water,15,0.5,42.8,1,120,5,0.4324
61,1,0,never_taker,Fire,13,5.9,43.9,1,109,4,0.109
62,1,1,complier,Grass,12,3.3,46.4,0,102,1,0.476
63,1,1,always_taker,Water,22,1.1,36.7,1,128,1,0.7698
64,1,1,complier,Grass,12,0.8,22.3,0,113,0,0.4165
65,1,1,complier,Grass,15,5.1,37.2,0,100,3,0.5429
66,1,1,complier,Grass,14,2.1,39.0,0,137,3,0.5175
67,1,0,never_taker,Water,15,1.8,42.5,0,140,1,0.4317
68,0,0,complier,Fire,14,0.8,32.2,0,71,0,0.1093
69,1,1,complier,Grass,16,2.2,48.6,1,125,6,0.6001
70,1,1,complier,Water,16,0.5,39.2,1,94,3,0.6253
71,1,1,complier,Water,16,7.2,45.3,0,127,2,0.6395
72,1,1,complier,Grass,18,3.2,48.6,1,129,4,0.6561
73,0,1,always_taker,Fire,12,1.1,39.0,0,82,2,0.1722
74,0,0,complier,Water,14,1.4,39.0,0,103,0,0.3941
75,0,0,never_taker,Water,16,1.6,39.3,0,101,1,0.4534
76,1,1,complier,Water,15,5.5,48.3,0,131,3,0.6185
77,0,0,complier,Water,13,2.8,39.9,0,125,2,0.368
78,1,0,never_taker,Water,9,5.0,60.6,0,116,2,0.307
79,1,1,complier,Grass,12,2.8,43.2,1,112,3,0.468
80,1,1,complier,Water,14,2.7,42.8,1,133,2,0.5764
81,0,0,complier,Water,13,6.0,74.9,0,101,1,0.4524
82,1,1,complier,Water,17,3.9,56.9,1,138,5,0.6919
83,1,1,complier,Fire,14,0.2,32.6,1,127,3,0.1988
84,0,0,complier,Fire,12,0.7,28.4,0,76,3,0.085
85,0,0,complier,Fire,12,0.4,26.6,0,77,1,0.0836
86,1,1,complier,Water,13,0.7,35.5,0,95,3,0.5287
87,0,1,always_taker,Fire,14,0.3,37.3,1,94,4,0.2064
88,0,1,always_taker,Grass,13,1.6,41.0,0,132,4,0.4925
89,0,0,complier,Water,18,0.8,32.0,1,150,1,0.495
90,1,1,complier,Water,21,1.4,31.1,1,129,4,0.7371
91,1,1,complier,Fire,14,3.4,42.3,1,123,2,0.2147
92,0,0,complier,Water,10,5.4,48.7,1,99,4,0.3073
93,1,1,complier,Fire,17,1.1,28.8,1,114,3,0.255
94,0,0,never_taker,Fire,11,1.8,19.0,0,94,3,0.0698
95,1,0,never_taker,Fire,13,1.4,29.2,1,118,4,0.0955
96,0,0,never_taker,Fire,17,4.2,47.1,0,91,0,0.1695
97,1,1,always_taker,Water,15,1.4,34.5,0,151,1,0.5854
98,1,1,complier,Fire,12,2.3,49.9,0,75,2,0.1883
99,1,1,complier,Water,10,0.5,30.9,1,123,6,0.4278
100,0,0,complier,Fire,11,2.3,41.5,0,101,3,0.0859
