trainer_id,lottery_won,safari_attended,compliance_type,team_level,trainer_experience,badges,strategy_score,battle_wins_pre,battle_wins_post,pokemon_caught_safari,patience,motivation
1,1,1,always_taker,43,5.0,3,43.2,65,76,7,42.86,77.43
2,1,1,complier,28,3.5,3,46.7,56,76,6,14.91,88.79
3,0,0,complier,19,4.3,1,28.9,40,42,0,11.81,15.7
4,1,0,never_taker,28,2.4,3,41.8,36,40,0,13.45,72.86
5,0,0,complier,20,8.1,5,31.9,24,23,0,18.05,57.77
6,0,0,complier,20,0.2,2,49.2,36,57,0,75.63,39.45
7,0,0,never_taker,19,5.8,2,49.6,48,71,0,98.05,28.6
8,0,0,complier,32,7.8,1,70.4,80,101,0,96.69,65.99
9,1,1,always_taker,17,2.5,2,43.5,53,81,10,84.93,11.69
10,0,0,complier,35,1.4,3,32.9,46,48,0,9.11,71.34
11,0,0,complier,25,2.5,2,34.8,45,50,0,47.12,38.03
12,0,1,always_taker,26,12.0,3,70.9,58,92,6,68.46,84.26
13,1,1,complier,40,2.3,3,51.5,67,91,8,54.62,10.95
14,0,0,complier,24,1.5,2,36.8,52,51,0,4.62,33.72
15,0,0,complier,23,0.9,1,49.8,54,67,0,48.28,73.09
16,0,0,complier,43,0.2,2,58.3,55,59,0,1.08,54.91
17,1,1,complier,28,6.8,3,39.8,56,82,4,55.68,60.65
18,1,1,complier,32,3.3,2,49.2,42,61,7,58.32,3.65
19,1,0,never_taker,30,8.3,4,43.4,48,53,0,11.64,84.53
20,0,0,complier,21,2.2,5,46.2,38,43,0,34.42,36.97
21,1,1,always_taker,22,1.1,1,47.1,45,56,7,69.22,84.86
22,1,1,complier,33,9.2,2,50.8,40,67,9,60.85,50.16
23,0,0,complier,38,1.8,2,47.3,55,83,0,97.4,58.06
24,0,1,always_taker,24,5.7,0,41.3,37,57,6,19.53,70.84
25,1,1,always_taker,10,8.3,2,79.0,52,79,16,72.43,60.19
26,1,0,never_taker,23,1.8,6,38.5,59,68,0,63.58,7.63
27,1,1,complier,29,5.6,5,56.1,66,95,9,62.12,27.78
28,1,1,always_taker,30,7.8,3,68.2,85,95,11,83.64,60.92
