city,period,cohort,treated,rel_time,avg_pokemon_level,gym_challengers,potion_sales,city_intercept,true_te
Saffron City,1,6.0,0,-5.0,42.94,216,414,42,0.0
Saffron City,2,6.0,0,-4.0,43.52,222,468,42,0.0
Saffron City,3,6.0,0,-3.0,43.58,245,415,42,0.0
Saffron City,4,6.0,0,-2.0,41.61,265,475,42,0.0
Saffron City,5,6.0,0,-1.0,43.94,258,448,42,0.0
Saffron City,6,6.0,1,0.0,45.77,290,498,42,0.0
Saffron City,7,6.0,1,1.0,48.18,288,469,42,3.4657
Saffron City,8,6.0,1,2.0,50.65,305,558,42,5.4931
Saffron City,9,6.0,1,3.0,52.99,292,493,42,6.9315
Saffron City,10,6.0,1,4.0,52.63,279,500,42,8.0472
Saffron City,11,6.0,1,5.0,54.67,329,533,42,8.9588
Saffron City,12,6.0,1,6.0,57.02,326,536,42,9.7296
Saffron City,13,6.0,1,7.0,57.18,280,590,42,10.3972
Saffron City,14,6.0,1,8.0,58.07,342,486,42,10.9861
Saffron City,15,6.0,1,9.0,59.01,315,597,42,11.5129
Saffron City,16,6.0,1,10.0,62.2,331,556,42,11.9895
Saffron City,17,6.0,1,11.0,62.33,340,607,42,12.4245
Saffron City,18,6.0,1,12.0,60.85,329,646,42,12.8247
Saffron City,19,6.0,1,13.0,62.73,320,611,42,13.1953
Saffron City,20,6.0,1,14.0,64.65,336,626,42,13.5403
Saffron City,21,6.0,1,15.0,63.8,359,608,42,13.8629
Saffron City,22,6.0,1,16.0,67.56,361,655,42,14.1661
Saffron City,23,6.0,1,17.0,66.36,337,674,42,14.4519
Saffron City,24,6.0,1,18.0,65.5,348,605,42,14.7222
Cerulean City,1,10.0,0,-9.0,34.87,194,388,35,0.0
Cerulean City,2,10.0,0,-8.0,36.02,201,442,35,0.0
Cerulean City,3,10.0,0,-7.0,36.18,251,394,35,0.0
Cerulean City,4,10.0,0,-6.0,34.41,210,357,35,0.0
Cerulean City,5,10.0,0,-5.0,37.24,234,451,35,0.0
Cerulean City,6,10.0,0,-4.0,36.16,225,416,35,0.0
Cerulean City,7,10.0,0,-3.0,39.23,244,427,35,0.0
Cerulean City,8,10.0,0,-2.0,37.68,243,392,35,0.0
Cerulean City,9,10.0,0,-1.0,37.68,229,481,35,0.0
Cerulean City,10,10.0,1,0.0,39.97,279,535,35,0.0
Cerulean City,11,10.0,1,1.0,41.82,287,558,35,2.426
Cerulean City,12,10.0,1,2.0,43.93,269,442,35,3.8451
Cerulean City,13,10.0,1,3.0,44.22,268,479,35,4.852
Cerulean City,14,10.0,1,4.0,44.97,280,492,35,5.633
Cerulean City,15,10.0,1,5.0,47.66,298,536,35,6.2712
Cerulean City,16,10.0,1,6.0,49.05,302,518,35,6.8107
Cerulean City,17,10.0,1,7.0,50.39,306,518,35,7.278
Cerulean City,18,10.0,1,8.0,51.23,352,555,35,7.6903
Cerulean City,19,10.0,1,9.0,51.74,300,524,35,8.059
Cerulean City,20,10.0,1,10.0,50.0,353,607,35,8.3926
Cerulean City,21,10.0,1,11.0,52.61,310,601,35,8.6972
Cerulean City,22,10.0,1,12.0,52.82,319,625,35,8.9773
Cerulean City,23,10.0,1,13.0,55.21,312,576,35,9.2367
Cerulean City,24,10.0,1,14.0,54.95,341,581,35,9.4782
Vermilion City,1,14.0,0,-13.0,34.44,189,378,33,0.0
Vermilion City,2,14.0,0,-12.0,34.87,182,347,33,0.0
Vermilion City,3,14.0,0,-11.0,33.31,249,405,33,0.0
Vermilion City,4,14.0,0,-10.0,34.32,215,422,33,0.0
Vermilion City,5,14.0,0,-9.0,33.08,223,412,33,0.0
Vermilion City,6,14.0,0,-8.0,34.7,235,378,33,0.0
Vermilion City,7,14.0,0,-7.0,34.83,228,426,33,0.0
Vermilion City,8,14.0,0,-6.0,36.21,246,432,33,0.0
Vermilion City,9,14.0,0,-5.0,37.02,237,426,33,0.0
Vermilion City,10,14.0,0,-4.0,37.05,262,418,33,0.0
Vermilion City,11,14.0,0,-3.0,38.25,266,496,33,0.0
Vermilion City,12,14.0,0,-2.0,37.94,259,466,33,0.0
Vermilion City,13,14.0,0,-1.0,38.36,265,441,33,0.0
Vermilion City,14,14.0,1,0.0,39.94,280,494,33,0.0
Vermilion City,15,14.0,1,1.0,40.65,311,507,33,1.7329
Vermilion City,16,14.0,1,2.0,41.96,272,504,33,2.7465
Vermilion City,17,14.0,1,3.0,45.48,284,563,33,3.4657
Vermilion City,18,14.0,1,4.0,43.65,307,518,33,4.0236
Vermilion City,19,14.0,1,5.0,47.38,337,586,33,4.4794
Vermilion City,20,14.0,1,6.0,46.54,297,595,33,4.8648
Vermilion City,21,14.0,1,7.0,47.24,323,557,33,5.1986
Vermilion City,22,14.0,1,8.0,48.14,329,606,33,5.4931
Vermilion City,23,14.0,1,9.0,48.37,354,588,33,5.7565
Vermilion City,24,14.0,1,10.0,48.12,341,596,33,5.9947
Lavender Town,1,18.0,0,-17.0,25.69,200,296,26,0.0
Lavender Town,2,18.0,0,-16.0,28.1,201,330,26,0.0
Lavender Town,3,18.0,0,-15.0,26.05,218,316,26,0.0
Lavender Town,4,18.0,0,-14.0,25.99,203,358,26,0.0
Lavender Town,5,18.0,0,-13.0,28.19,199,378,26,0.0
Lavender Town,6,18.0,0,-12.0,27.33,204,410,26,0.0
Lavender Town,7,18.0,0,-11.0,29.89,213,386,26,0.0
Lavender Town,8,18.0,0,-10.0,27.89,210,361,26,0.0
Lavender Town,9,18.0,0,-9.0,29.13,201,388,26,0.0
Lavender Town,10,18.0,0,-8.0,28.53,205,418,26,0.0
Lavender Town,11,18.0,0,-7.0,31.3,229,423,26,0.0
Lavender Town,12,18.0,0,-6.0,30.87,248,367,26,0.0
Lavender Town,13,18.0,0,-5.0,30.36,250,401,26,0.0
Lavender Town,14,18.0,0,-4.0,31.51,234,467,26,0.0
Lavender Town,15,18.0,0,-3.0,33.01,290,418,26,0.0
Lavender Town,16,18.0,0,-2.0,31.65,260,459,26,0.0
Lavender Town,17,18.0,0,-1.0,33.68,282,461,26,0.0
Lavender Town,18,18.0,1,0.0,35.04,328,497,26,0.0
Lavender Town,19,18.0,1,1.0,34.31,298,475,26,1.3863
Lavender Town,20,18.0,1,2.0,37.69,286,542,26,2.1972
Lavender Town,21,18.0,1,3.0,36.93,304,592,26,2.7726
Lavender Town,22,18.0,1,4.0,38.63,316,586,26,3.2189
Lavender Town,23,18.0,1,5.0,38.82,294,553,26,3.5835
Lavender Town,24,18.0,1,6.0,40.53,326,567,26,3.8918
Celadon City,1,,0,,38.28,238,383,38,0.0
Celadon City,2,,0,,40.23,234,386,38,0.0
Celadon City,3,,0,,39.89,227,435,38,0.0
Celadon City,4,,0,,38.21,221,454,38,0.0
Celadon City,5,,0,,39.3,254,436,38,0.0
Celadon City,6,,0,,40.23,243,425,38,0.0
Celadon City,7,,0,,40.54,256,504,38,0.0
Celadon City,8,,0,,39.17,253,515,38,0.0
Celadon City,9,,0,,40.43,275,490,38,0.0
Celadon City,10,,0,,42.84,250,469,38,0.0
Celadon City,11,,0,,41.51,253,517,38,0.0
Celadon City,12,,0,,43.43,275,509,38,0.0
Celadon City,13,,0,,44.41,273,494,38,0.0
Celadon City,14,,0,,44.35,263,462,38,0.0
Celadon City,15,,0,,43.35,299,478,38,0.0
Celadon City,16,,0,,44.82,285,503,38,0.0
Celadon City,17,,0,,44.64,291,537,38,0.0
Celadon City,18,,0,,45.08,311,491,38,0.0
Celadon City,19,,0,,47.03,312,559,38,0.0
Celadon City,20,,0,,45.69,312,525,38,0.0
Celadon City,21,,0,,47.24,289,569,38,0.0
Celadon City,22,,0,,47.18,328,598,38,0.0
Celadon City,23,,0,,47.92,327,504,38,0.0
Celadon City,24,,0,,49.02,303,618,38,0.0
Fuchsia City,1,,0,,29.73,181,312,30,0.0
Fuchsia City,2,,0,,31.18,223,346,30,0.0
Fuchsia City,3,,0,,30.78,180,388,30,0.0
Fuchsia City,4,,0,,32.16,216,406,30,0.0
Fuchsia City,5,,0,,31.93,209,400,30,0.0
Fuchsia City,6,,0,,33.1,211,418,30,0.0
Fuchsia City,7,,0,,31.69,232,365,30,0.0
Fuchsia City,8,,0,,33.34,226,360,30,0.0
Fuchsia City,9,,0,,33.86,216,438,30,0.0
Fuchsia City,10,,0,,35.12,260,394,30,0.0
Fuchsia City,11,,0,,34.97,270,414,30,0.0
Fuchsia City,12,,0,,36.04,242,479,30,0.0
Fuchsia City,13,,0,,35.17,251,386,30,0.0
Fuchsia City,14,,0,,36.17,254,482,30,0.0
Fuchsia City,15,,0,,36.22,260,485,30,0.0
Fuchsia City,16,,0,,37.0,261,528,30,0.0
Fuchsia City,17,,0,,38.94,263,541,30,0.0
Fuchsia City,18,,0,,36.41,297,515,30,0.0
Fuchsia City,19,,0,,38.38,309,535,30,0.0
Fuchsia City,20,,0,,39.71,295,474,30,0.0
Fuchsia City,21,,0,,38.73,307,540,30,0.0
Fuchsia City,22,,0,,40.45,267,582,30,0.0
Fuchsia City,23,,0,,37.67,337,576,30,0.0
Fuchsia City,24,,0,,39.68,315,495,30,0.0
Pewter City,1,,0,,27.58,203,370,28,0.0
Pewter City,2,,0,,28.99,179,390,28,0.0
Pewter City,3,,0,,31.38,187,345,28,0.0
Pewter City,4,,0,,29.52,203,345,28,0.0
Pewter City,5,,0,,29.81,185,364,28,0.0
Pewter City,6,,0,,30.06,235,390,28,0.0
Pewter City,7,,0,,30.9,228,397,28,0.0
Pewter City,8,,0,,31.95,228,338,28,0.0
Pewter City,9,,0,,32.52,229,420,28,0.0
Pewter City,10,,0,,31.87,229,442,28,0.0
Pewter City,11,,0,,32.85,236,387,28,0.0
Pewter City,12,,0,,33.93,269,495,28,0.0
Pewter City,13,,0,,33.59,266,454,28,0.0
Pewter City,14,,0,,32.63,258,414,28,0.0
Pewter City,15,,0,,34.84,278,490,28,0.0
Pewter City,16,,0,,32.46,264,441,28,0.0
Pewter City,17,,0,,32.93,298,469,28,0.0
Pewter City,18,,0,,36.22,272,501,28,0.0
Pewter City,19,,0,,35.9,282,460,28,0.0
Pewter City,20,,0,,36.01,307,501,28,0.0
Pewter City,21,,0,,38.5,301,525,28,0.0
Pewter City,22,,0,,39.66,306,509,28,0.0
Pewter City,23,,0,,38.41,296,570,28,0.0
Pewter City,24,,0,,39.12,305,578,28,0.0
Cinnabar Island,1,,0,,36.02,229,348,36,0.0
Cinnabar Island,2,,0,,36.58,214,381,36,0.0
Cinnabar Island,3,,0,,36.01,250,379,36,0.0
Cinnabar Island,4,,0,,39.39,230,457,36,0.0
Cinnabar Island,5,,0,,38.82,235,367,36,0.0
Cinnabar Island,6,,0,,39.84,230,393,36,0.0
Cinnabar Island,7,,0,,38.31,258,443,36,0.0
Cinnabar Island,8,,0,,39.84,237,440,36,0.0
Cinnabar Island,9,,0,,40.12,251,458,36,0.0
Cinnabar Island,10,,0,,39.39,261,461,36,0.0
Cinnabar Island,11,,0,,40.82,278,461,36,0.0
Cinnabar Island,12,,0,,41.34,257,475,36,0.0
Cinnabar Island,13,,0,,40.66,277,504,36,0.0
Cinnabar Island,14,,0,,43.19,262,491,36,0.0
Cinnabar Island,15,,0,,42.56,282,507,36,0.0
Cinnabar Island,16,,0,,43.35,269,541,36,0.0
Cinnabar Island,17,,0,,43.28,285,536,36,0.0
Cinnabar Island,18,,0,,42.81,296,511,36,0.0
Cinnabar Island,19,,0,,44.4,317,530,36,0.0
Cinnabar Island,20,,0,,43.2,298,565,36,0.0
Cinnabar Island,21,,0,,44.47,295,590,36,0.0
Cinnabar Island,22,,0,,46.0,302,568,36,0.0
Cinnabar Island,23,,0,,47.7,290,546,36,0.0
Cinnabar Island,24,,0,,47.15,352,571,36,0.0
