trainer_id,thunder_training,team_level,trainer_experience,badges_pre,electric_type_count,strategy_score,starter_type,wealth,surge_gym_win,turns_to_win,pokemon_remaining,propensity_true,patience,natural_talent
1,0,28,5.1,5,1,43.3,Fire,4,0,12,2,0.2311,12.5,22.85
2,0,42,0.4,1,0,46.8,Water,3,0,8,3,0.2687,4.95,92.92
3,0,29,1.5,2,3,38.2,Water,3,1,5,3,0.5136,68.75,75.94
4,1,38,5.7,5,4,53.3,Fire,3,1,6,3,0.8567,93.34,91.38
5,1,36,5.9,3,3,52.2,Grass,3,1,7,3,0.625,34.11,66.44
6,0,48,1.3,3,0,50.5,Grass,2,1,8,1,0.4019,22.7,93.61
7,0,23,3.3,1,2,49.7,Grass,4,1,2,5,0.4583,69.85,72.72
8,0,35,2.1,2,1,60.1,Fire,4,1,5,3,0.5912,91.24,90.16
9,0,24,7.0,4,1,38.1,Grass,3,1,4,5,0.3292,46.47,31.21
10,0,35,0.2,4,3,31.6,Grass,3,1,2,4,0.3166,8.24,61.47
11,0,37,2.9,3,1,53.7,Water,3,1,10,5,0.585,90.04,74.73
12,0,36,1.3,3,0,48.0,Water,4,1,14,4,0.2805,22.57,88.87
13,1,33,1.1,1,2,30.4,Grass,4,1,3,5,0.2871,15.62,68.41
14,0,25,1.7,0,1,65.8,Fire,4,1,4,4,0.3745,70.45,59.96
15,0,16,5.6,2,1,49.1,Fire,3,1,9,6,0.166,17.75,8.71
16,1,30,12.0,3,0,60.5,Grass,3,1,8,5,0.6421,70.68,61.4
17,1,44,4.7,4,0,41.7,Grass,4,1,2,5,0.3565,29.56,39.18
18,0,17,6.1,5,0,49.2,Grass,4,1,8,4,0.192,43.33,17.33
19,0,36,1.3,2,0,57.7,Fire,4,1,5,5,0.2921,32.49,69.02
20,0,18,2.6,2,1,30.6,Grass,2,0,13,2,0.1506,45.04,11.42
21,0,21,4.9,5,3,34.6,Fire,4,1,5,6,0.3708,49.43,25.5
22,1,20,1.7,2,1,46.9,Fire,2,0,6,2,0.2469,66.45,39.3
23,0,21,2.3,2,0,39.8,Fire,3,1,7,2,0.2201,84.36,26.08
24,0,22,6.2,5,1,48.5,Grass,3,1,13,6,0.3994,97.83,1.15
25,0,28,3.3,2,0,30.9,Grass,3,1,8,6,0.1602,32.19,16.48
26,0,40,4.3,3,2,60.0,Water,3,1,5,2,0.724,88.98,72.56
27,0,36,4.9,4,1,57.4,Fire,3,1,8,5,0.5419,61.71,65.67
28,1,30,4.9,4,2,80.0,Grass,3,1,7,3,0.6947,96.7,59.22
29,1,34,4.8,4,0,54.0,Water,4,1,5,6,0.4766,76.8,63.57
30,0,35,4.0,5,0,54.3,Grass,3,0,8,1,0.333,14.79,88.11
31,1,44,3.2,0,0,46.3,Fire,4,1,6,4,0.4575,59.18,64.05
32,1,41,2.9,5,2,53.9,Water,3,1,8,3,0.4538,5.46,77.77
33,0,31,1.7,5,4,60.2,Grass,2,1,11,6,0.5288,15.23,85.82
34,0,22,3.6,3,2,62.0,Fire,2,1,9,6,0.3556,46.23,39.86
35,1,37,1.2,2,1,63.2,Fire,3,1,4,1,0.4295,56.26,60.62
36,0,36,1.8,1,4,63.8,Grass,3,1,7,2,0.6909,55.71,80.21
37,0,23,3.7,1,1,51.1,Grass,2,1,5,3,0.2325,47.71,7.26
38,1,41,8.0,2,4,56.5,Fire,3,1,9,4,0.8505,56.79,86.46
39,0,14,1.1,1,0,37.7,Water,3,0,15,3,0.0595,6.3,11.81
40,1,48,8.8,3,3,61.9,Water,3,1,8,2,0.8334,31.91,91.49
41,1,30,6.9,5,0,50.3,Fire,3,1,6,6,0.5063,90.92,50.4
42,0,30,3.9,3,1,53.4,Fire,4,0,9,3,0.294,13.66,57.24
43,0,24,3.3,3,0,59.9,Water,3,1,4,5,0.2452,46.53,45.28
44,0,42,5.2,3,1,58.7,Grass,4,0,10,3,0.5316,29.13,73.23
45,1,28,1.6,2,1,29.3,Water,2,1,3,6,0.1553,6.7,40.08
46,0,25,1.2,2,0,34.7,Fire,3,1,6,1,0.0961,18.23,6.1
47,1,42,1.4,0,1,57.6,Water,2,1,6,5,0.4774,47.84,76.44
48,0,28,5.0,0,0,56.2,Water,3,1,12,6,0.2227,19.39,29.43
49,0,14,5.5,3,1,51.6,Fire,3,1,6,2,0.2523,56.13,25.5
50,0,38,3.9,2,0,54.6,Water,3,1,5,1,0.4392,42.02,89.66
51,1,31,9.0,1,1,73.3,Water,3,1,8,5,0.7257,94.65,60.5
52,0,43,10.8,4,1,78.4,Water,4,1,10,4,0.783,38.57,90.06
53,1,34,3.5,4,2,47.9,Fire,3,1,8,6,0.4356,36.4,55.67
54,1,27,5.2,2,4,39.7,Grass,4,1,6,5,0.5408,50.93,31.41
55,1,38,3.1,1,2,66.7,Fire,5,1,6,3,0.5418,25.43,87.94
56,1,29,1.6,5,2,54.3,Water,4,1,6,4,0.3447,26.79,67.64
57,1,32,6.1,5,1,71.0,Water,2,1,8,4,0.6733,77.42,96.53
58,0,22,1.8,4,2,30.0,Grass,3,1,2,2,0.1988,35.03,23.73
59,0,15,2.0,1,0,41.9,Water,3,1,1,5,0.1334,68.47,6.01
60,0,22,11.7,5,2,39.9,Water,3,1,9,6,0.5966,90.59,2.64
